,Id,Name,Sort,Nodes
0,DEAI63C,★本月強打活動★,1,"[{'Id': 'DEAIU4', 'Name': '&#9658;寶貝暖暖好過冬', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIY9', 'Name': '麗嬰房童裝★保暖特輯$188起', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIT3', 'Name': '&#9658;1月買就送13%P幣', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIE8', 'Name': '麗嬰房新春送禮&#9658;滿1500送100P幣', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIVY', 'Name': '麗嬰房獨家商品&#9658;滿999送88P幣', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAILB', 'Name': '麗嬰房箱購品&#9658;滿1888送5%P幣', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRY', 'Name': '媽媽寶寶&#9658;得獎菁品大賞', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIYT', 'Name': '&#9658;寶貝防疫專區', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
1,DEAI57C,▌HOT哈燒話題 ▌,2,"[{'Id': 'DEAIBD', 'Name': '&#128270; 兔寶寶送禮清單', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIZO', 'Name': '&#128270; 彌月禮盒推薦！', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
2,DEAI19C,nac nac育兒用品,3,"[{'Id': 'DEAI0H', 'Name': '&#9658;nac nac全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8M', 'Name': 'nac nac 奶瓶奶嘴', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2U', 'Name': 'nac nac衣物.奶蔬洗滌', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIVI', 'Name': 'nac nac身體洗護用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2V', 'Name': 'nac nac哺乳/電器用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2X', 'Name': 'nac nac寢具/織品', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIK3', 'Name': 'nac nac濕巾/兩用巾', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
3,DEAI70C,麗嬰房品牌專館,4,"[{'Id': 'DEAIKL', 'Name': '◤◤麗嬰房獨家系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIW3', 'Name': '◤◤麗嬰房童裝外出服', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAITS', 'Name': '◤◤嬰幼內著/居家服', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIMT', 'Name': '◤◤lesenphants 清潔用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIK9', 'Name': '◤◤lesenphants 寢具織品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUD', 'Name': '◤◤推車/汽座/餐搖椅', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAILQ', 'Name': '◤◤美國Carter’s童裝', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUY', 'Name': '├包屁衣/連身裝/多件組套裝', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0S', 'Name': '├上衣/襯衫/外套/背心', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIKD', 'Name': '├褲/裙/吊帶/洋裝', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
4,DEAI16C,日本貝親官方旗鑑,5,"[{'Id': 'DEAIVG', 'Name': '&#9658;日本貝親全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV2', 'Name': '├貝親 奶瓶奶嘴', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0E', 'Name': '├貝親 副食品餐具', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0D', 'Name': '├貝親 沐浴清潔保養', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0C', 'Name': '├貝親 哺育用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH9C01', 'Name': '├貝親 食品+用品任選 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 1}]"
5,DEAI06C,娃娃城 BabyCity ,6,"[{'Id': 'DEAI7H', 'Name': '■娃娃城Baby City', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIZ0', 'Name': '■德國RECARO', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAITU', 'Name': ' ■德國feiler毛巾', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIZM', 'Name': '■德國FEHN芬恩', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIE9', 'Name': '■美國aden+anais', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0F', 'Name': ' ■美國Little Me 童裝', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRB', 'Name': ' ■美國RKS太陽眼鏡', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI15', 'Name': ' ■澳洲Playgro培高', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAII6', 'Name': '■法國Djeco智荷', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXX', 'Name': '■日本Toyroyal樂雅', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI9X', 'Name': ' ■比利時Doomoo婦嬰品', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIF2', 'Name': ' ■以色列Halilit 音樂玩具', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV9', 'Name': ' ■英國LittleLife防走失包 ', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIEY', 'Name': '■英國cloud b玩具', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIF1', 'Name': ' ■英國SmarTrike三輪車', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXG', 'Name': '■59S 紫外線消毒', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0B', 'Name': ' ■Silli Chews固齒器', 'Sort': 17, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIGY', 'Name': '■CaaOcho可趣', 'Sort': 18, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI1L', 'Name': ' ■其它專櫃品牌', 'Sort': 19, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV3', 'Name': '├日本Aprica', 'Sort': 20, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
6,DEAI02C,小獅王辛巴 Simba,7,"[{'Id': 'DEAIVP', 'Name': '&#9658;小獅王辛巴全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXV', 'Name': '★獲獎鉑金奶瓶★', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI84', 'Name': ' ├Simba奶瓶奶嘴', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI07', 'Name': '├Simba哺育用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI06', 'Name': '├Simba清潔用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI05', 'Name': '├Simba棉織衣物', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI23', 'Name': '├Simba生活用品', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
7,DEAI35C,日本 Combi,8,"[{'Id': 'DEAIVL', 'Name': '&#9658;Combi全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI58', 'Name': '├Combi 生活用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
8,DEAI33C,義大利chicco,9,"[{'Id': 'DEAIVQ', 'Name': '&#9658;義大利chicco全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI4O', 'Name': '├chicco 哺育用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAINZ', 'Name': '├chicco 生活用品 ', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI4L', 'Name': '├chicco 清潔保養', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7201', 'Name': '├chicco 外出用品 ', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
9,DEAI10C,奇哥,10,"[{'Id': 'DEAIVF', 'Name': '&#9658;奇哥全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI13', 'Name': '├奇哥育兒生活', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI0O', 'Name': '├奇哥清潔保養', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAINY', 'Name': '├奇哥比得兔專區', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI9D', 'Name': '├奇哥舒眠寢具', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI14', 'Name': '├奇哥外出用品', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV1', 'Name': '■Joie', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV4', 'Name': '■瑞典 BabyBjorn', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAICG', 'Name': '■愛爾蘭ClevaMama', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIP4', 'Name': '■費雪 Fisher-Price', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
10,DEAI93C,德國NUK,11,"[{'Id': 'DEAIYL', 'Name': '&#9658;NUK嬰用品全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQQ', 'Name': 'NUK 奶瓶奶嘴配件', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQR', 'Name': 'NUK 生活用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQP', 'Name': 'NUK 安撫用品/配件', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQS', 'Name': 'NUK 清潔保養', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
11,DEAI01C,優生US baby,12,"[{'Id': 'DEAIVO', 'Name': '■優生 寶寶用品', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8C', 'Name': '■喜多 寶寶用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI01', 'Name': '■培寶 寶寶用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI02', 'Name': '■濕紙巾全系列', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
12,DEAI51C,荷蘭NUNA,13,"[{'Id': 'DEAINH', 'Name': '&#9658;荷蘭NUNA全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2T', 'Name': '├NUNA居家生活', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIS0', 'Name': '├NUNA外出用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
13,DEAI61C,美國 Nuby,14,"[{'Id': 'DEAIVM', 'Name': '&#9658;美國Nuby全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHT', 'Name': '├Nuby哺育用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHU', 'Name': '├Nuby生活用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHV', 'Name': '├Nuby清潔洗劑', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIGX', 'Name': '├Nuby居家外出', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
14,DEAI58C,KU.KU 酷咕鴨&raquo;,15,"[{'Id': 'DEAIVR', 'Name': '■KU.KU酷咕鴨全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIH9', 'Name': '├KU.KU酷咕鴨 哺育用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHC', 'Name': '├KU.KU酷咕鴨 清潔洗沐', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHG', 'Name': '├KU.KU酷咕鴨 生活用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHB', 'Name': '├KU.KU酷咕鴨 棉織物/寢具', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
15,DEAI91C,PUKU藍色企鵝,16,"[{'Id': 'DEAIXM', 'Name': '&#9658;PUKU藍色企鵝全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIB7', 'Name': '├ PUKU哺育/離乳', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAINE', 'Name': '├ PUKU清潔/保養', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAITL', 'Name': '├ PUKU紡品/睡寢', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIDM', 'Name': '├ PUKU外出用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
16,DEAI85C,AVENT 新安怡,17,"[{'Id': 'DEAI3U', 'Name': '&#9658;AVENT新安怡全系列 ', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUR', 'Name': ' ├AVENT電器/吸乳器', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUM', 'Name': '├AVENT奶瓶/奶嘴', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
17,DEAI79C,日本Hoppetta,18,"[{'Id': 'DEAIVE', 'Name': '&#9658;日本Hoppetta全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRH', 'Name': '├六層紗防踢被', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUT', 'Name': '├六層紗蓋毯被', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRI', 'Name': '├枕類/紗布巾/浴巾', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRJ', 'Name': '├外出/餐具/玩偶  ', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQO', 'Name': '├Hoppetta彌月禮', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
18,DEAI92C,▌育嬰電器 ▌,19,"[{'Id': 'DECHCO00', 'Name': '■奶瓶電子消毒鍋', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCS00', 'Name': '■智能哺育電器', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCP00', 'Name': '■溫奶器 /食物加熱機', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCR00', 'Name': '■副食品調理棒/機', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAX00', 'Name': '■調乳器 /泡奶機', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4501', 'Name': '■電動/手動吸乳器 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6Q01', 'Name': '■尿布處理器 ', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAZ00', 'Name': '■空氣清淨設備', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
19,DEAI08C,▌奶瓶 奶嘴 ▌ ,20,"[{'Id': 'DECHCQ00', 'Name': '■奶瓶全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV202', 'Name': '■貝親 奶瓶奶嘴', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8401', 'Name': '■小獅王 奶瓶奶嘴', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8M03', 'Name': '■nac nac 奶瓶奶嘴', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQQ01', 'Name': '■德國NUK 奶瓶奶嘴', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIH902', 'Name': '■KUKU酷咕鴨 奶瓶奶嘴', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIX8', 'Name': '■COMOTOMO矽膠奶瓶', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIY1', 'Name': '■PHILIPS 香草奶嘴', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXU', 'Name': '■丹麥BIBS奶嘴', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAII0', 'Name': '■nanob&#233;b&#233; 哺育用品', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
20,DEAI87C, ▌安撫用品 ▌,21,"[{'Id': 'DECH6100', 'Name': '■固齒器(成長牙咬器)', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQ6', 'Name': '├加拿大 Lollipop固齒器', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAISF', 'Name': '├紐西蘭M2M 咬咬兜', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI3R', 'Name': '■安撫巾', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIP9', 'Name': ' ├美國 Angel Dear安撫巾', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIS5', 'Name': '■舒眠‧安撫玩具 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXJ', 'Name': '├德國STEIFF', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIDO', 'Name': ' ├美國SOZZY', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIPJ', 'Name': '├美國miYim 娃娃', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAINP', 'Name': '├Mary Meyer美國蜜兒', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXO', 'Name': '■安撫音樂鈴', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIKI', 'Name': '■安撫手搖鈴', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAITK', 'Name': '├美國Apple Park', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV7', 'Name': '├Mombella & Apramo', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
